City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Surat,Gujarat,34.6,26.6,20.8,7.8,43.4,12.1,19.3,18.3,24.0,64.1,77.9,38.7
Rishikesh,Uttarakhand,55.9,30.4,27.3,31.8,44.4,38.8,19.8,13.3,11.3,29.3,55.8,29.1
Rajamahendravaram,Andhra Pradesh,86.2,44.2,30.3,22.7,17.7,18.4,11.7,12.5,16.9,26.1,53.5,46.4
Tumakuru,Karnataka,46.9,22.0,35.2,51.3,40.2,17.6,22.1,32.4,17.4,17.5,50.9,55.9
Agra,Uttar Pradesh,58.0,30.6,30.2,25.0,27.7,20.6,14.3,8.8,15.7,41.3,64.1,43.0
Kadapa,Andhra Pradesh,30.1,32.7,27.3,23.7,38.4,32.2,29.2,27.9,30.2,31.7,33.4,41.2
Bhilai,Chhattisgarh,54.5,29.6,30.0,26.1,28.7,18.6,12.2,19.5,22.6,32.5,58.2,46.0
Sagar,Madhya Pradesh,48.9,33.4,22.5,22.4,23.9,19.7,12.6,15.8,14.9,36.1,57.3,64.2
Gharghoda,Chhattisgarh,38.5,29.6,35.3,48.9,38.3,31.1,8.6,14.2,15.3,32.9,37.7,36.5
Kannur,Kerala,27.1,30.8,33.5,37.3,39.1,28.4,26.8,--,--,--,19.9,27.6
Naharlagun,Arunachal Pradesh,44.9,42.1,45.9,44.6,19.1,16.9,13.1,15.4,17.4,18.9,29.1,44.3
Hyderabad,Telangana,39.5,31.5,33.8,35.4,28.3,20.7,16.5,19.8,22.9,31.1,50.3,37.2
Brajrajnagar,Odisha,44.1,37.5,37.9,38.2,29.2,24.3,12.7,10.4,15.8,28,41.8,36.0
Bengaluru,Karnataka,44.0,37.9,45.3,34.4,24.1,15.4,14.3,19.5,20.8,30.7,39.1,34.7
Tirupati,Andhra Pradesh,35.9,31.6,37.8,32.8,25.9,20.6,15.8,13.8,15.6,29.6,48.3,47.7
Prayagraj,Uttar Pradesh,61.4,33.8,26.9,21.8,27.2,25.9,12.2,10.5,13.9,24.3,48.6,49.4
Bilaspur,Chhattisgarh,49.6,32.1,26.4,30.5,31.8,22.9,16.2,12.9,19,31.4,46.9,35.2
Mandikhera,Haryana,12.8,24.0,19.2,23.2,26.0,20.6,14.6,10,45.9,64.8,63.9,21.7
Eloor,Kerala,30.1,28.3,25.0,23.6,20.3,18.4,29.2,28.4,30.9,30,42.8,41.1
Chikkaballapur,Karnataka,49.2,42.8,46.5,36.4,24.9,11.3,11.6,11.3,13.1,22.2,40.8,32.5
Barmer,Rajasthan,52.7,28.8,18.8,18.3,24.3,24.5,17.9,11.4,14.8,24.1,43.8,58.3
Cuddalore,Tamil Nadu,39.6,35.2,36.2,41.6,24.5,17.6,15.1,15.2,16.2,36.1,33.4,34.7
Vellore,Tamil Nadu,52.0,40.3,27.4,22.9,26.1,16.0,13.4,15.6,21.2,28,37.8,44.0
Davanagere,Karnataka,39.5,29.4,37.6,35.1,23.2,12.3,10.9,12.1,12.7,31.3,47.4,40.1
Anantapur,Andhra Pradesh,32.5,27.9,27.8,22.6,23.1,22.9,24.3,26,25.1,36.9,37.2,25.5
Sravana Belgola,Karnataka,42.5,33.2,45.6,39.1,26.9,17.0,14.5,14,14.8,21.5,32.8,35.7
